,action,left,light,next_waypoint,oncoming,reward,right
0,left,None,red,right,forward,-1.0,None
1,forward,None,red,right,forward,-1.0,None
2,left,None,red,right,forward,-1.0,None
3,forward,None,green,right,None,0.5,None
4,left,None,green,right,None,0.5,left
5,forward,None,green,right,None,0.5,None
6,forward,None,green,right,None,0.5,None
7,right,None,red,right,None,2.0,None
8,right,None,red,right,None,2.0,None
9,forward,None,green,forward,None,2.0,None
10,right,None,green,forward,None,0.5,None
11,forward,None,green,left,None,0.5,None
12,left,None,green,left,None,2.0,None
13,right,None,green,forward,None,0.5,None
14,right,None,red,left,None,0.5,None
15,left,None,red,right,None,-1.0,None
16,None,None,red,right,None,1.0,None
17,right,None,red,right,None,2.0,None
18,None,None,red,right,None,1.0,None
19,forward,None,red,right,None,-1.0,None
20,None,None,green,right,None,1.0,None
21,forward,None,green,right,None,0.5,None
22,left,None,green,right,None,0.5,left
23,left,None,green,right,None,0.5,None
24,left,None,red,left,None,-1.0,None
25,None,None,green,left,None,1.0,None
26,None,None,green,left,None,1.0,None
27,left,None,green,left,None,2.0,None
28,None,forward,green,forward,None,1.0,None
29,forward,forward,green,forward,None,2.0,None
30,right,None,green,forward,None,0.5,None
31,forward,None,red,left,None,-1.0,None
32,forward,None,green,left,None,0.5,None
33,left,None,green,left,None,2.0,None
34,right,None,green,forward,None,0.5,None
35,left,None,red,left,None,-1.0,None
36,left,None,red,left,None,-1.0,None
37,left,None,red,left,None,-1.0,None
38,forward,None,red,left,None,-1.0,None
39,forward,None,red,left,None,-1.0,None
40,None,None,green,left,None,1.0,None
41,right,None,green,left,None,0.5,None
42,forward,None,green,right,None,0.5,None
43,left,None,red,right,None,-1.0,None
44,None,None,red,right,None,1.0,None
45,left,None,green,right,None,0.5,None
46,left,None,red,left,None,-1.0,None
47,None,None,red,left,None,1.0,None
48,right,None,green,left,None,0.5,None
49,forward,None,green,right,None,0.5,None
50,None,None,green,right,None,1.0,None
51,forward,None,red,right,None,-1.0,None
52,right,None,red,right,None,2.0,None
53,None,None,red,right,None,1.0,None
54,right,None,red,right,None,2.0,None
55,forward,None,green,forward,None,2.0,None
56,right,None,red,forward,None,0.5,None
57,None,None,red,left,None,1.0,None
58,None,None,red,left,None,1.0,None
59,forward,None,red,left,None,-1.0,None
60,None,None,green,left,None,1.0,None
61,None,None,green,left,None,1.0,None
62,right,None,green,left,None,0.5,None
63,forward,None,red,right,None,-1.0,None
64,right,None,green,right,None,2.0,None
65,forward,None,red,right,None,-1.0,None
66,forward,None,red,right,None,-1.0,None
67,None,None,red,right,None,1.0,None
68,forward,None,red,right,None,-1.0,None
69,right,None,red,right,None,2.0,None
70,None,None,green,forward,None,1.0,None
71,right,None,green,forward,None,0.5,right
72,left,None,green,left,None,2.0,None
73,forward,None,red,forward,None,-1.0,None
74,None,None,red,forward,None,1.0,None
75,right,None,green,forward,None,0.5,None
76,right,None,red,left,None,0.5,None
77,forward,None,green,right,None,0.5,None
78,right,None,green,right,None,2.0,None
79,left,None,green,right,None,0.5,None
80,None,None,green,right,None,1.0,None
81,None,None,red,right,None,1.0,None
82,right,None,red,right,None,2.0,None
83,None,None,red,right,None,1.0,None
84,forward,None,red,right,None,-1.0,None
85,forward,None,green,right,None,0.5,left
86,left,None,green,right,None,0.5,None
87,None,None,green,right,None,1.0,None
88,left,None,green,right,None,0.5,None
89,right,None,green,forward,None,0.5,None
90,forward,None,red,left,None,-1.0,None
91,right,None,red,left,None,10.5,None
92,forward,None,green,right,None,0.5,None
93,right,None,green,right,None,2.0,None
94,None,None,red,forward,None,1.0,None
95,right,None,red,forward,None,0.5,None
96,forward,None,green,left,None,0.5,None
97,forward,None,red,left,None,-1.0,None
98,forward,None,red,left,None,-1.0,None
99,right,None,red,left,None,0.5,None
100,right,None,green,right,None,2.0,None
101,None,None,red,right,None,1.0,None
102,right,None,red,right,left,2.0,None
103,left,None,green,forward,None,0.5,None
104,forward,None,green,right,None,0.5,None
105,None,None,red,right,None,1.0,None
